,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
773,0,2,1,39,0,0,16,0
774,1,1,0,70,1,3,129,2
775,0,2,1,23,0,0,30,2
776,0,2,1,39,0,0,30,1
777,1,2,0,9,0,0,81,2
778,0,2,1,39,0,0,28,1
779,1,0,0,58,0,1,240,2
780,1,2,0,17,0,0,17,0
781,1,0,0,22,1,0,195,2
782,0,0,1,38,0,0,153,2
783,0,2,1,39,1,2,131,2
784,0,2,1,33,0,0,12,2
785,0,2,1,33,0,0,18,2
786,1,2,0,23,0,0,20,2
787,0,2,1,12,4,1,151,1
788,1,2,1,5,1,2,122,2
789,0,0,1,62,0,0,216,0
790,0,2,1,39,0,0,30,1
791,0,1,1,21,0,0,138,2
792,0,2,0,39,6,2,205,2
793,0,0,1,39,0,0,156,0
794,0,2,1,33,0,0,40,2
795,0,1,1,53,0,0,85,2
796,1,0,0,65,0,0,137,2
797,1,2,0,42,0,0,55,2
798,0,2,1,40,0,0,17,0
799,0,2,0,40,1,1,133,2
800,0,1,1,46,0,0,85,2
801,1,1,0,42,1,1,139,2
802,1,0,1,15,1,2,232,2
803,1,2,1,0,0,1,52,0
804,1,2,1,35,0,0,10,2
805,0,2,1,42,0,0,31,2
806,0,0,1,53,0,0,0,2
807,0,2,0,23,0,0,31,2
808,0,1,1,53,0,0,85,2
809,1,0,0,45,1,0,189,2
810,0,2,1,34,0,0,39,2
811,0,2,1,53,0,0,133,2
812,0,1,1,48,0,0,72,2
813,0,2,0,10,4,2,158,2
814,0,2,1,41,0,0,43,2
815,0,0,1,39,0,0,0,2
816,0,2,0,29,0,0,41,2
817,0,1,1,42,1,1,170,0
818,0,2,1,58,0,0,5,2
819,0,2,1,14,3,2,147,2
820,1,0,0,68,1,1,227,2
821,1,2,1,35,0,0,54,2
822,0,0,1,52,0,0,0,2
823,1,2,0,35,0,1,81,2
824,0,2,1,6,4,1,175,2
825,0,2,1,39,0,0,9,1
826,0,2,1,39,0,0,193,2
827,1,1,1,5,0,2,170,0
828,1,2,1,39,0,0,30,1
829,1,0,0,79,0,0,218,3
830,1,2,0,20,1,0,94,0
831,1,1,1,3,1,1,114,2
832,0,2,1,39,0,0,17,0
833,0,2,1,29,0,0,36,2
834,0,2,1,23,0,0,47,2
835,1,0,0,53,1,1,221,0
836,0,2,1,27,0,0,54,2
837,0,2,1,39,0,0,43,2
838,1,2,1,43,0,0,193,2
839,1,0,1,39,0,0,152,0
840,0,2,1,25,0,0,41,2
841,0,1,1,21,0,0,72,2
842,1,0,0,40,0,0,157,0
843,0,2,1,47,0,0,4,0
844,0,2,1,22,0,0,54,2
845,0,2,1,57,0,0,22,2
846,0,2,1,39,6,2,205,2
847,0,2,1,48,0,0,40,0
848,0,1,1,36,0,1,162,2
849,1,0,0,39,1,0,224,0
850,0,2,1,8,4,2,158,2
851,0,2,1,87,0,0,31,2
852,0,2,0,13,1,1,101,0
853,1,0,0,21,0,1,173,2
854,0,1,0,59,1,0,138,2
855,1,2,0,23,0,1,61,2
856,1,0,0,60,1,1,239,2
857,1,0,1,67,0,0,143,2
858,1,2,0,31,0,3,116,0
859,0,2,1,39,0,0,17,0
860,0,2,1,56,2,0,92,2
861,0,1,1,27,1,0,76,2
862,1,0,0,64,0,0,137,2
863,0,2,0,39,6,2,205,2
864,0,1,1,31,0,0,85,2
865,1,1,0,57,0,0,85,2
866,1,1,0,35,1,0,89,0
867,0,0,1,42,0,0,184,2
868,0,2,1,39,0,0,64,2
869,1,2,1,8,1,1,74,2
870,0,2,1,34,0,0,40,2
871,1,0,0,63,1,1,188,2
872,0,0,1,45,0,0,2,2
873,0,2,1,63,0,0,58,2
874,1,1,0,36,1,0,132,0
875,1,2,0,20,0,0,16,0
876,0,2,1,25,0,0,69,2
877,0,2,1,24,0,0,40,2
878,0,2,1,39,0,0,40,2
879,1,0,0,73,0,1,221,0
880,1,1,0,33,0,1,138,2
881,0,2,1,45,0,0,40,2
882,0,2,0,28,0,0,73,2
883,0,1,1,36,0,0,72,2
884,0,2,1,33,0,0,12,2
885,0,2,0,53,0,5,151,1
886,0,1,1,35,0,0,85,2
887,1,0,0,24,0,0,153,2
888,0,2,0,39,1,2,131,2
889,1,0,1,34,0,0,153,0
890,0,2,1,43,0,0,30,1
